"","SYMBOL","X1107H4D","Normalized_Per_Million","Normal_Mean","Normal_Mean_per_Million","Normal_Median","Normal_SD","Z_score","Foldchange","Gene_State","Potential_FP_or_FN"
"ENSG00000000938","FGR",78.925,16.221,88.081,17.614,69.875,82.876,-0.11,0.896,"NORMAL","0"
"ENSG00000004468","CD38",13.4,2.754,55.315,11.065,20.5625,149.898,-0.28,0.242,"NORMAL","0"
"ENSG00000007312","CD79B",0,0,1.249,0.25,0.5125,2.118,-0.59,0,"NORMAL","-"
"ENSG00000008018","PSMB1",753.775,154.922,616.032,123.191,610.825,148.628,0.927,1.224,"NORMAL","0"
"ENSG00000010671","BTK",12.65,2.6,9.521,1.904,5.55,9.78,0.32,1.329,"NORMAL","0"
"ENSG00000010810","FYN",266.925,54.861,305.132,61.026,304.7625,88.66,-0.431,0.875,"NORMAL","0"
"ENSG00000012048","BRCA1",27.3,5.611,47.16,9.431,42.5125,18.544,-1.071,0.579,"NORMAL","0"
"ENSG00000012124","CD22",60.65,12.465,297.225,59.446,332.0375,206.095,-1.148,0.204,"NORMAL","0"
"ENSG00000014257","ACPP",10.2,2.096,16.369,3.273,13.45,10.764,-0.573,0.623,"NORMAL","0"
"ENSG00000015592","STMN4",0.975,0.2,1.916,0.383,1.1,2.685,-0.35,0.509,"NORMAL","-"
"ENSG00000017427","IGF1",1445.3,297.05,794.021,158.785,659.0625,642.9,1.013,1.82,"NORMAL","0"
"ENSG00000019991","HGF",35.5,7.296,95.024,19.006,56.9625,81.944,-0.726,0.374,"NORMAL","0"
"ENSG00000020922","MRE11",566.325,116.396,396.105,79.222,402.425,133.604,1.274,1.43,"NORMAL","0"
"ENSG00000026751","SLAMF7",19.475,4.003,45.152,9.03,16.225,82.729,-0.31,0.431,"NORMAL","0"
"ENSG00000037280","FLT4",9.4,1.932,48.28,9.655,42.675,23.593,-1.648,0.195,"LOW","0"
"ENSG00000041880","PARP3",198.275,40.751,147.1,29.416,137.55,50.761,1.008,1.348,"NORMAL","0"
"ENSG00000047849","MAP4",422.5,86.836,580.373,116.074,564.2875,142.837,-1.105,0.728,"LOW","0"
"ENSG00000047936","ROS1",1.925,0.396,10.156,2.031,0,49.378,-0.167,0.19,"VERY HIGH","+"
"ENSG00000048052","HDAC9",907.325,186.481,174.46,34.892,131.925,119.061,6.155,5.201,"HIGH","0"
"ENSG00000048392","RRM2B",125.4,25.773,175.346,35.069,173.2125,57.053,-0.875,0.715,"NORMAL","0"
"ENSG00000048462","TNFRSF17",3.975,0.817,20.825,4.164,2.825,51.931,-0.324,0.191,"NORMAL","-"
"ENSG00000049130","KITLG",176.725,36.322,342.929,68.587,326.8125,182.788,-0.909,0.515,"NORMAL","0"
"ENSG00000051180","RAD51",26.45,5.436,10.981,2.196,9.3125,11.046,1.4,2.409,"NORMAL","0"
"ENSG00000061273","HDAC7",2691.925,553.267,1360.977,272.162,1327.875,501.794,2.652,1.978,"HIGH","0"
"ENSG00000064300","NGFR",22.825,4.691,13.185,2.637,9.5125,16.317,0.591,1.731,"NORMAL","0"
"ENSG00000065361","ERBB3",405.35,83.311,70.651,14.13,13.1125,135.144,2.477,5.737,"HIGH","0"
"ENSG00000066468","FGFR2",84.2,17.305,211.87,42.375,144.5875,174.605,-0.731,0.397,"LOW","0"
"ENSG00000068024","HDAC4",98.075,20.157,119.646,23.93,123.3375,35.363,-0.61,0.82,"NORMAL","0"
"ENSG00000068078","FGFR3",28.375,5.832,19.537,3.909,3.725,49.434,0.179,1.452,"NORMAL","0"
"ENSG00000070501","POLB",328.95,67.609,185.971,37.195,174.8375,39.819,3.591,1.769,"HIGH","0"
"ENSG00000070669","ASNS",7.825,1.608,7.449,1.49,5.525,7.037,0.053,1.05,"NORMAL","-"
"ENSG00000073756","PTGS2",48.975,10.066,166.114,33.222,140.45,130.402,-0.898,0.295,"NORMAL","0"
